cardholder_id,card_number,card_type,customer_name,email,phone_number,country,preferred_currency,reward_points,risk_score
CH0196,XXXX-XXXX-XXXX-5772,Platinum,Katherine Wright,jonesnicolas@reynolds.com,(311)725-2666,India,INR,3981,0.35
CH0197,XXXX-XXXX-XXXX-1599,Business,John Moore,ingramevan@gmail.com,1901269694,Australia,CAD,9735,0.81
CH0198,XXXX-XXXX-XXXX-3437,Gold,Jason Knight,michelle31@gmail.com,001-296-656-5804x786,India,EUR,3585,0.78
CH0199,XXXX-XXXX-XXXX-7496,Business,Kara Oliver,mhenderson@hotmail.com,+1-281-929-6801x81070,Australia,USD,7291,0.48
CH0200,XXXX-XXXX-XXXX-3354,Silver,Sheena Johnson,justinsmith@yahoo.com,(107)816-1359,Germany,USD,5649,0.52
CH0201,XXXX-XXXX-XXXX-3837,Business,Aaron Cruz,lindamiller@yahoo.com,821.694.3599x5041,UK,CAD,6859,0.72
CH0202,XXXX-XXXX-XXXX-2496,Platinum,Robert Shannon,valerie68@yahoo.com,071-349-8124x342,UK,AUD,8344,0.29
CH0203,XXXX-XXXX-XXXX-1111,Platinum,Amber Ross,renee10@green-jones.com,(479)308-7072,India,CAD,6237,0.87
CH0204,XXXX-XXXX-XXXX-7616,Gold,Derrick Castro,jessica64@gmail.com,001-052-368-2171,Australia,GBP,6431,0.68
CH0205,XXXX-XXXX-XXXX-8447,Silver,Lisa Sanchez,mariaweaver@yahoo.com,001-966-317-6604x84295,Australia,GBP,3517,0.91
CH0206,XXXX-XXXX-XXXX-2057,Platinum,Annette Rios,gjohnson@beltran.com,(354)958-8440,USA,INR,2535,0.28
CH0207,XXXX-XXXX-XXXX-8565,Platinum,Mary Patton,qwilliams@lopez.com,(533)304-1702,Canada,INR,627,0.63
CH0208,XXXX-XXXX-XXXX-1559,Platinum,Emily Roberts,gperez@spencer.com,7657287624,USA,CAD,6743,0.6
CH0209,XXXX-XXXX-XXXX-6473,Silver,Kayla Hogan MD,ayalabrandon@hotmail.com,001-587-408-9642,Canada,USD,5077,0.06
CH0210,XXXX-XXXX-XXXX-9924,Silver,Donna King,lmoore@yahoo.com,252.077.5064x4697,Australia,CAD,9997,0.55
CH0211,XXXX-XXXX-XXXX-9014,Platinum,Jennifer Vasquez,ortizkatherine@kelly.com,(587)754-7272,Canada,USD,5720,0.26
CH0212,XXXX-XXXX-XXXX-5448,Platinum,Tyler Li,salinastimothy@gmail.com,665.294.5451x4901,Australia,USD,2803,0.03
CH0213,XXXX-XXXX-XXXX-9855,Platinum,Beth Reyes,donna31@bauer-osborne.net,(584)674-4552x7556,India,INR,2030,0.14
CH0214,XXXX-XXXX-XXXX-3338,Platinum,Joseph Horton,kimberlygreer@holland.com,892-448-2034x004,UK,CAD,4074,0.13
CH0215,XXXX-XXXX-XXXX-3000,Gold,Rose Chapman,thompsonjoyce@thompson.biz,9519331066,Germany,EUR,9968,0.92
CH0216,XXXX-XXXX-XXXX-2952,Business,Jeff Rogers,nthomas@johnson.com,(114)015-4738,Australia,CAD,3071,0.22
CH0217,XXXX-XXXX-XXXX-8192,Silver,Jeffrey Rogers,clarkanna@yahoo.com,919-037-6935x4593,Canada,USD,8481,0.89
CH0218,XXXX-XXXX-XXXX-3390,Platinum,Miss Amber Huff,halljuan@stanley.com,602-638-7305,USA,INR,6152,0.28
CH0219,XXXX-XXXX-XXXX-8373,Silver,Margaret Gilbert,troy23@hotmail.com,(726)800-7057x2388,Germany,GBP,670,0.67
CH0220,XXXX-XXXX-XXXX-9487,Business,Christopher Floyd,crossspencer@ramsey-willis.info,(508)805-8306x0850,USA,GBP,5631,0.04
CH0221,XXXX-XXXX-XXXX-4300,Gold,John Copeland,shepherdnathaniel@gmail.com,(673)616-8196,UK,AUD,2208,0.02
CH0222,XXXX-XXXX-XXXX-3417,Silver,Julie Bauer,jackiedavid@gmail.com,082.090.5413,Australia,EUR,6025,0.7
CH0223,XXXX-XXXX-XXXX-2826,Gold,Raymond Jordan,jamespatty@hotmail.com,463.251.7997,UK,EUR,628,0.37
CH0224,XXXX-XXXX-XXXX-8628,Silver,Rachael Johnston,ljones@hamilton.info,(978)088-0313,Australia,AUD,8485,0.26
CH0225,XXXX-XXXX-XXXX-3893,Silver,Jared Garcia,lopezandrea@roberts.net,+1-000-502-9915x32327,Germany,USD,9989,0.08
CH0226,XXXX-XXXX-XXXX-2925,Platinum,Kimberly Cook,gevans@barnett.biz,426.219.8447x7080,UK,EUR,6714,0.94
CH0227,XXXX-XXXX-XXXX-7268,Gold,Monique Solomon,hartkayla@hale.org,+1-755-754-6358x91054,USA,USD,2384,0.59
CH0228,XXXX-XXXX-XXXX-4146,Platinum,Jeffery Holt,alexnelson@hotmail.com,001-275-795-6128x48850,Canada,USD,8551,0.9
CH0229,XXXX-XXXX-XXXX-5753,Gold,David Oconnor,michelefox@yahoo.com,840-115-9047x37770,USA,USD,3352,0.31
CH0230,XXXX-XXXX-XXXX-4952,Platinum,James Mathis,shernandez@yahoo.com,962-775-5467x656,UK,AUD,795,0.94
CH0231,XXXX-XXXX-XXXX-5551,Business,Alejandro Miller,burtonmelissa@boyd.net,(926)095-7155,USA,GBP,2024,0.58
CH0232,XXXX-XXXX-XXXX-7386,Silver,Debra White,cwhite@griffin.info,(733)574-3859x625,Germany,INR,4318,0.91
CH0233,XXXX-XXXX-XXXX-5317,Platinum,Lacey Saunders,emorris@yahoo.com,(660)063-7124x0247,Canada,USD,6354,0.04
CH0234,XXXX-XXXX-XXXX-5133,Gold,Stephanie Berry,burnsnancy@gmail.com,700-431-4943x72523,UK,GBP,772,0.42
CH0235,XXXX-XXXX-XXXX-9904,Platinum,Frank Johnson,tdavis@yahoo.com,(567)522-9701x86405,India,CAD,3218,0.31
CH0236,XXXX-XXXX-XXXX-6580,Gold,Marvin Walker,melaniecohen@rogers-morales.net,001-167-582-8563x569,Australia,CAD,2994,0.79
CH0237,XXXX-XXXX-XXXX-4295,Business,Emily Davis,robert18@yahoo.com,139-634-8107x202,UK,EUR,3723,0.79
CH0238,XXXX-XXXX-XXXX-7265,Platinum,Veronica Sheppard,qwheeler@gmail.com,001-708-016-9640x2084,India,EUR,9321,0.47
CH0239,XXXX-XXXX-XXXX-9169,Platinum,Billy Singleton,mannchristopher@ellison.com,(523)147-2396,Germany,CAD,7482,0.46
CH0240,XXXX-XXXX-XXXX-8852,Silver,Emily Bonilla,kathleenbruce@hotmail.com,+1-688-656-6997x792,India,CAD,9480,0.7
CH0241,XXXX-XXXX-XXXX-7894,Silver,Jerry Lara,donaldmendoza@ellis.net,001-475-833-5170x716,Germany,EUR,7764,0.93
CH0242,XXXX-XXXX-XXXX-9883,Platinum,Caitlin Wright,pottsronald@gmail.com,880.322.7233x286,USA,GBP,4475,0.48
CH0243,XXXX-XXXX-XXXX-3067,Platinum,Anthony Robbins,gmiller@gmail.com,+1-490-284-3219x03421,USA,AUD,9521,0.82
CH0244,XXXX-XXXX-XXXX-2959,Platinum,Guy Hawkins,whitedonald@hotmail.com,3445763646,India,USD,3094,0.49
CH0245,XXXX-XXXX-XXXX-9570,Platinum,Maurice Garcia,mhancock@castro.com,+1-764-287-8837x352,UK,EUR,5171,0.27
CH0246,XXXX-XXXX-XXXX-7220,Business,Jeffrey Simmons,jamesford@bowman-olson.com,+1-565-811-8908x4410,India,AUD,4874,0.56
CH0247,XXXX-XXXX-XXXX-3571,Platinum,Miss Sarah Liu MD,rushalexandra@hotmail.com,001-602-097-7092x4562,Germany,CAD,2411,0.48
CH0248,XXXX-XXXX-XXXX-9712,Business,Stanley Green,kmiller@mathis-weaver.biz,(759)029-2985,USA,EUR,1872,0.47
CH0249,XXXX-XXXX-XXXX-1908,Silver,Carla Long,brooke72@hotmail.com,350-264-1338x161,UK,CAD,5179,0.8
CH0250,XXXX-XXXX-XXXX-2624,Gold,Daniel White,meadowsamy@hotmail.com,001-720-392-1497x570,India,INR,5295,0.03
CH0251,XXXX-XXXX-XXXX-8945,Platinum,Mary Martinez,ebanks@hotmail.com,190-453-0657x409,Australia,AUD,6903,0.2
CH0252,XXXX-XXXX-XXXX-7344,Silver,Marco Bailey,grahamandrew@williams.com,+1-941-976-6700x05326,Germany,USD,2481,0.23
CH0253,XXXX-XXXX-XXXX-3337,Platinum,Jennifer Wilson,charles24@hall-hill.com,7752100795,India,GBP,4132,0.3
CH0254,XXXX-XXXX-XXXX-7103,Silver,Katherine Horton,oherman@gmail.com,+1-206-029-4318x99935,Australia,EUR,4638,0.73
CH0255,XXXX-XXXX-XXXX-1022,Business,Kelly Gonzalez,oscarshaw@hotmail.com,471-558-9994x12705,Germany,USD,9684,0.36
CH0256,XXXX-XXXX-XXXX-1865,Business,James Valentine,sarahgordon@hill.info,+1-866-569-6036x588,USA,EUR,4797,0.7
CH0257,XXXX-XXXX-XXXX-8385,Silver,Matthew Pace,waltercarson@parker-bell.com,929-405-5022x32728,UK,EUR,7960,0.06
CH0258,XXXX-XXXX-XXXX-3472,Gold,David Mckee,cynthia70@crosby.info,(648)347-0103x204,Canada,USD,3274,0.93
CH0259,XXXX-XXXX-XXXX-4443,Platinum,Kristen Garcia,theresa03@knight-meadows.com,001-275-527-0012x934,USA,INR,9532,0.5
CH0260,XXXX-XXXX-XXXX-5584,Silver,Samuel Kirby,meyersmichael@gmail.com,272-475-4361x91928,USA,GBP,5401,0.68
CH0261,XXXX-XXXX-XXXX-3396,Gold,Deborah Collins,manuelturner@yahoo.com,001-665-338-6212,Canada,EUR,1107,0.52
CH0262,XXXX-XXXX-XXXX-3664,Silver,Lisa Lamb,graybrandon@brown-bryant.org,+1-519-968-3138,India,CAD,1891,0.3
CH0263,XXXX-XXXX-XXXX-8427,Silver,Kevin Ramsey,thomas05@gmail.com,(417)294-3360,Australia,INR,5216,0.51
CH0264,XXXX-XXXX-XXXX-2780,Silver,Jennifer Cox,tinamurray@smith.info,9268450747,UK,USD,7393,0.59
CH0265,XXXX-XXXX-XXXX-3306,Business,Kelly Potter,angela13@gmail.com,001-035-414-5044x959,USA,USD,2491,0.57
CH0266,XXXX-XXXX-XXXX-1243,Gold,Laura Rasmussen,elizabeth13@murphy-mckinney.com,001-546-962-0871,UK,EUR,7353,0.29
CH0267,XXXX-XXXX-XXXX-1646,Business,Bruce Jones,thomas79@diaz.biz,556-023-2553x9249,Germany,CAD,5359,0.18
CH0268,XXXX-XXXX-XXXX-1028,Platinum,Ann Martin,hillcarmen@yahoo.com,177.876.5193x206,Australia,USD,9560,0.35
CH0269,XXXX-XXXX-XXXX-3281,Platinum,Randy Olson,dennis59@reid.com,0135214034,India,CAD,9787,0.62
CH0270,XXXX-XXXX-XXXX-6133,Business,Megan Hart,juliewilson@mclaughlin-johnson.org,1516485682,Australia,INR,6022,0.7
CH0271,XXXX-XXXX-XXXX-3831,Gold,Emily Conley,iwallace@lee-smith.info,213-512-7437x613,UK,AUD,6599,0.52
CH0272,XXXX-XXXX-XXXX-7968,Business,Kevin Murillo,angelabanks@yahoo.com,351-994-0731,Canada,USD,3241,0.23
CH0273,XXXX-XXXX-XXXX-1968,Silver,Tonya Cox,melissayoung@yahoo.com,259-053-7757x90678,Germany,EUR,4677,0.68
CH0274,XXXX-XXXX-XXXX-3234,Gold,Carolyn Miller,dukebrianna@gmail.com,(134)106-5766,UK,USD,925,0.42
CH0275,XXXX-XXXX-XXXX-5109,Platinum,Kelly Brown,noconnell@king.biz,107.545.4769x3056,India,GBP,6037,0.8
CH0276,XXXX-XXXX-XXXX-7834,Business,Melanie Lara,colemanmarilyn@gmail.com,402.556.9384x246,Germany,CAD,6146,0.71
CH0277,XXXX-XXXX-XXXX-1153,Business,Jennifer Curtis,murphydaniel@martinez-hamilton.com,260.972.0103,USA,USD,5475,0.57
CH0278,XXXX-XXXX-XXXX-2913,Silver,James Wright,anita78@heath-lee.com,+1-503-739-7169,Australia,GBP,2264,0.62
CH0279,XXXX-XXXX-XXXX-3869,Business,Jennifer Alvarado,wjames@hamilton.com,(829)167-0401,UK,INR,6846,0.45
CH0280,XXXX-XXXX-XXXX-4233,Business,Daniel Wade,troyspears@goodwin-ellis.net,+1-153-349-3958x756,India,CAD,8524,0.02
CH0281,XXXX-XXXX-XXXX-6678,Platinum,Bethany Fitzgerald,rodriguezstephen@walsh-livingston.org,958-573-8484,Canada,INR,3907,0.16
CH0282,XXXX-XXXX-XXXX-3537,Silver,Sean Hensley MD,stephanie59@hotmail.com,+1-122-383-2813,Australia,USD,3772,0.06
CH0283,XXXX-XXXX-XXXX-6154,Gold,Kurt Ruiz,poolejorge@hotmail.com,(610)635-4593x77496,Germany,EUR,2085,0.1
CH0284,XXXX-XXXX-XXXX-1134,Business,Ashlee Larson,xthomas@hotmail.com,+1-803-292-1186x850,UK,EUR,3082,0.11
CH0285,XXXX-XXXX-XXXX-7186,Silver,Charles Davis,robertmiller@bates.com,(996)636-3332x67490,Australia,CAD,9587,0.73
CH0286,XXXX-XXXX-XXXX-1748,Gold,Mrs. Joanna Reed,martinezshelly@washington.biz,5432189030,Australia,USD,5542,0.82
CH0287,XXXX-XXXX-XXXX-2181,Platinum,Morgan Fisher,llin@williams.com,+1-030-885-5255x1981,Canada,AUD,5650,0.12
CH0288,XXXX-XXXX-XXXX-3200,Business,Connie Armstrong DDS,joshuatran@cantu-massey.com,+1-318-307-4528x3915,Canada,INR,1741,0.77
CH0289,XXXX-XXXX-XXXX-4042,Silver,Jeffrey Andrews,olivia62@yahoo.com,830.910.1972,Australia,AUD,4477,0.49
CH0290,XXXX-XXXX-XXXX-5409,Business,Jose Hopkins,andrewavila@yahoo.com,543.717.9050,India,GBP,1438,0.46
CH0291,XXXX-XXXX-XXXX-5989,Silver,Amanda Bradley,angela32@gmail.com,001-342-037-7593x9524,UK,EUR,5212,0.23
CH0292,XXXX-XXXX-XXXX-5985,Silver,Paul Tran,jasonturner@harvey-parker.info,917-088-5789x989,Australia,EUR,4366,0.93
CH0293,XXXX-XXXX-XXXX-7977,Business,Jessica Moore,ajohnson@gmail.com,+1-272-604-4936x6314,Canada,INR,8359,0.88
CH0294,XXXX-XXXX-XXXX-6396,Business,Michael Walker,ryanneal@yahoo.com,(505)447-5051x60152,USA,USD,9906,0.78
CH0295,XXXX-XXXX-XXXX-9370,Silver,Michael Pitts,thomas41@byrd.com,+1-262-878-1778x13929,Canada,GBP,8489,0.14
CH0296,XXXX-XXXX-XXXX-8371,Platinum,Joseph Barnes,bbooth@hotmail.com,020-949-1537,India,CAD,9942,0.44
CH0297,XXXX-XXXX-XXXX-3924,Gold,Kristin Munoz,mcbridestanley@gmail.com,993.805.5068,Australia,CAD,4999,0.66
CH0298,XXXX-XXXX-XXXX-7154,Business,Amy Turner,abigail69@campbell.net,(569)221-5303x30289,Australia,INR,5743,0.93
CH0299,XXXX-XXXX-XXXX-2982,Platinum,James Craig,youngmark@johnson.org,+1-468-476-4640x6885,Canada,CAD,1993,0.16
CH0300,XXXX-XXXX-XXXX-9613,Silver,Brenda Castro,cpeck@dodson.info,532.843.9185x9438,India,EUR,8607,0.11
CH0301,XXXX-XXXX-XXXX-2250,Silver,Jean Brooks,gregoryjackson@montoya.net,(900)019-9352,India,AUD,1678,0.55
CH0302,XXXX-XXXX-XXXX-6544,Gold,Randy Rowe,rachelroberts@yahoo.com,+1-534-522-4630x86581,India,INR,3615,0.99
CH0303,XXXX-XXXX-XXXX-6395,Business,Wendy Wilson,holmesharry@hotmail.com,292.463.6319x1849,Germany,AUD,7479,0.36
CH0304,XXXX-XXXX-XXXX-2763,Gold,Don Olsen,jacksonstephanie@hernandez.net,930.529.2663,Australia,GBP,6247,0.11
CH0305,XXXX-XXXX-XXXX-3820,Silver,Kaylee Knight,ecastillo@walker-larson.org,0016999106,Canada,EUR,3299,0.44
CH0306,XXXX-XXXX-XXXX-1591,Platinum,Mitchell Wright,williamslaurie@hotmail.com,001-090-309-5985x2707,Canada,CAD,2192,0.63
CH0307,XXXX-XXXX-XXXX-7297,Silver,Eric Harper,orandolph@gmail.com,(267)882-4280x596,India,CAD,6918,0.05
CH0308,XXXX-XXXX-XXXX-1055,Silver,Paige Edwards,amiller@yu-lopez.info,669-493-8281x206,Canada,EUR,5121,0.78
CH0309,XXXX-XXXX-XXXX-8825,Silver,Brian Parker,fmckinney@pope-rosales.org,9340664977,Canada,CAD,9209,0.75
CH0310,XXXX-XXXX-XXXX-9101,Silver,Maureen Dawson,alexandra93@yahoo.com,+1-926-323-9143,Canada,INR,2057,0.24
CH0311,XXXX-XXXX-XXXX-2261,Gold,Dustin Saunders,millerkevin@baxter.com,001-213-867-8922,USA,USD,519,0.9
CH0312,XXXX-XXXX-XXXX-3847,Platinum,Melissa Watson,donald78@henderson.com,001-220-932-1486x72563,Germany,INR,1069,0.55
CH0313,XXXX-XXXX-XXXX-1965,Platinum,Tyler Gray,jocelynmitchell@yahoo.com,(169)405-0666x539,Germany,USD,9880,0.88
CH0314,XXXX-XXXX-XXXX-7385,Gold,Jordan Kirk,xsmith@taylor.com,316.147.5779x900,USA,EUR,3823,0.46
CH0315,XXXX-XXXX-XXXX-3469,Business,Carl Kaiser,lori67@meyer.org,0934327528,UK,AUD,4404,0.85
CH0316,XXXX-XXXX-XXXX-7286,Business,Nathan Schwartz,bethanyflynn@hotmail.com,(913)819-6092x1073,India,EUR,6444,0.04
CH0317,XXXX-XXXX-XXXX-3611,Platinum,Linda Simmons,nperez@lopez.com,(150)712-7448,USA,AUD,8391,0.19
CH0318,XXXX-XXXX-XXXX-7583,Business,Ricardo Chavez,wandalee@collins.net,(589)375-3790,Germany,CAD,8062,0.42
CH0319,XXXX-XXXX-XXXX-7350,Gold,Emily Cox,zobrien@yahoo.com,+1-610-876-0186,Germany,GBP,9287,0.32
CH0320,XXXX-XXXX-XXXX-3795,Silver,Caitlin Thomas,mlogan@sanchez-rodriguez.com,(026)146-3399x8074,Australia,AUD,506,0.33
CH0321,XXXX-XXXX-XXXX-5061,Platinum,Michael Cruz,rogermorgan@baird.com,521-612-1279x51312,Canada,INR,1878,0.05
CH0322,XXXX-XXXX-XXXX-8724,Gold,David Meyers,danajohnson@lewis.com,849.700.8754x30523,USA,GBP,6306,0.74
CH0323,XXXX-XXXX-XXXX-3920,Business,Justin Miller,jacqueline87@gmail.com,001-643-897-1113,India,GBP,5956,0.35
CH0324,XXXX-XXXX-XXXX-6120,Gold,Rita Middleton,stokeskyle@herman-rose.com,001-304-373-2161x83847,Canada,AUD,8428,0.54
CH0325,XXXX-XXXX-XXXX-3751,Gold,Christine Haley,nashjose@webb.com,+1-969-653-1857,UK,AUD,1570,0.69
CH0326,XXXX-XXXX-XXXX-1476,Silver,Melissa Mora,sharon37@bishop.org,3664620093,USA,GBP,7910,0.13
CH0327,XXXX-XXXX-XXXX-3974,Business,Christine Smith,hallkara@berry-baker.biz,399-744-9337x33714,UK,EUR,3021,0.22
CH0328,XXXX-XXXX-XXXX-1739,Silver,Mark Morrison,michelle38@gonzalez.com,+1-676-035-7692,Australia,GBP,2592,0.18
CH0329,XXXX-XXXX-XXXX-1783,Business,Colton Jackson,hillangela@hotmail.com,965.400.5461x7541,Australia,GBP,7421,0.45
CH0330,XXXX-XXXX-XXXX-7596,Business,Heather Adams,tiffany03@smith-davis.com,932-073-6921x95423,Canada,GBP,2827,0.29
CH0331,XXXX-XXXX-XXXX-7681,Silver,Mary Vazquez,ewelch@garrett.biz,179-744-1458,Germany,EUR,9871,0.18
CH0332,XXXX-XXXX-XXXX-8391,Gold,Maria Brown,sabrinawood@hotmail.com,011.309.6557,Canada,CAD,8860,0.97
CH0333,XXXX-XXXX-XXXX-7568,Gold,Molly Tran,william29@hotmail.com,+1-030-462-9732x5716,Canada,GBP,8557,0.32
CH0334,XXXX-XXXX-XXXX-1066,Silver,Colton Lopez,russellmatthew@gmail.com,+1-531-252-5391,Germany,AUD,4662,0.63
CH0335,XXXX-XXXX-XXXX-2770,Platinum,Daniel Davis,johncortez@moore.biz,001-563-849-6291,Canada,USD,2396,0.51
CH0336,XXXX-XXXX-XXXX-7153,Silver,Douglas Lambert,john90@gmail.com,2525720133,USA,INR,1686,0.64
CH0337,XXXX-XXXX-XXXX-6835,Silver,Tonya Payne,usmith@powell-smith.biz,197.154.6132,USA,AUD,2151,0.15
CH0338,XXXX-XXXX-XXXX-2203,Business,Victoria Jordan,christopher67@gmail.com,+1-733-046-8805,UK,CAD,4814,0.87
CH0339,XXXX-XXXX-XXXX-9134,Business,Darren Tate,randerson@yahoo.com,013-831-5336x99802,USA,CAD,1247,0.54
CH0340,XXXX-XXXX-XXXX-8781,Business,Jessica Williams,aortiz@yahoo.com,(437)367-5171x077,UK,AUD,4200,0.16
CH0341,XXXX-XXXX-XXXX-2905,Platinum,Madison Valentine,jesus55@washington-ward.com,001-890-136-7683x40507,India,INR,4906,0.74
CH0342,XXXX-XXXX-XXXX-5763,Platinum,Victoria Ali,nhuff@zamora-bridges.com,(024)568-7430x2919,India,AUD,6534,0.77
CH0343,XXXX-XXXX-XXXX-6249,Silver,Beverly Martinez,cunninghammark@gmail.com,296-744-5452,USA,INR,9241,0.08
CH0344,XXXX-XXXX-XXXX-6941,Platinum,Linda Sanchez,kristinamiller@jones.com,(005)977-1097,Canada,AUD,5123,0.88
CH0345,XXXX-XXXX-XXXX-6456,Gold,Jonathan Strickland,carlos99@david.com,+1-046-066-2392x13117,USA,EUR,3648,0.03
CH0346,XXXX-XXXX-XXXX-3983,Silver,Sarah Phillips,qhayes@hotmail.com,(730)692-3254,Germany,GBP,2813,0.62
CH0347,XXXX-XXXX-XXXX-9772,Platinum,Jennifer Campbell,pottsjamie@yahoo.com,787-568-5649,USA,USD,661,0.64
CH0348,XXXX-XXXX-XXXX-5284,Platinum,Hannah Nguyen,mariecalderon@gmail.com,741.201.0109,UK,CAD,8224,0.89
CH0349,XXXX-XXXX-XXXX-3746,Platinum,Amber Gomez MD,sarareed@hotmail.com,(141)342-3461,USA,USD,1348,0.45
CH0350,XXXX-XXXX-XXXX-2625,Gold,Jose Torres,morenojohn@gmail.com,980.305.7373x523,UK,INR,5046,0.81
CH0351,XXXX-XXXX-XXXX-8045,Platinum,Gerald Combs,pamelalandry@hardy-white.biz,775-646-5651x14669,Australia,USD,8786,0.22
CH0352,XXXX-XXXX-XXXX-7741,Business,Elizabeth Flores,hudsondonna@fleming.net,678.343.7320x7320,India,CAD,6994,0.58
CH0353,XXXX-XXXX-XXXX-7727,Gold,Caitlin Butler,vcarson@lee.com,(254)157-4820,Germany,USD,8284,0.32
CH0354,XXXX-XXXX-XXXX-1369,Business,Nichole Grant,xmora@nichols-carter.com,079-773-7402,UK,EUR,6733,0.13
CH0355,XXXX-XXXX-XXXX-9582,Silver,Dr. Courtney Thomas,underwoodjessica@rogers.com,559-903-5734x621,Australia,USD,2042,0.93
CH0356,XXXX-XXXX-XXXX-1759,Business,John Parsons,walkermichael@cook-clark.com,001-197-590-0707x00164,UK,CAD,8420,0.87
CH0357,XXXX-XXXX-XXXX-5373,Business,Jeffery Mccarthy,andreapennington@crosby.info,463-103-2759x392,Germany,INR,6697,0.43
CH0358,XXXX-XXXX-XXXX-4622,Gold,Rachel Michael,robinhull@gmail.com,1317085514,Canada,USD,6037,0.09
CH0359,XXXX-XXXX-XXXX-2605,Gold,Kathy Whitaker,cheryl12@brooks.com,001-377-852-2102x80713,Germany,CAD,1625,0.45
CH0360,XXXX-XXXX-XXXX-7692,Platinum,Albert Kelly,uhale@nguyen-walsh.com,001-631-355-3029x29094,USA,GBP,3953,0.21
CH0361,XXXX-XXXX-XXXX-2786,Silver,Michael Mullins,lisa21@hotmail.com,(751)282-0752x94698,UK,GBP,4083,0.94
CH0362,XXXX-XXXX-XXXX-2365,Gold,Daniel Jimenez,hhansen@nguyen.com,700-015-6373x5606,Canada,EUR,7915,0.24
CH0363,XXXX-XXXX-XXXX-6036,Silver,Grant Williams,jonesdaniel@walters-yang.biz,084.671.3624,Canada,GBP,8515,0.21
CH0364,XXXX-XXXX-XXXX-4861,Business,Chris Rivas,christopher83@gmail.com,0506141319,India,AUD,3797,0.89
CH0365,XXXX-XXXX-XXXX-5166,Business,Sarah Eaton,bfields@yahoo.com,+1-215-362-5236x16222,USA,INR,8011,0.41
CH0366,XXXX-XXXX-XXXX-3852,Platinum,Christopher Griffith,jasonwilliams@nguyen.org,(743)626-8858x205,Australia,INR,6171,0.43
CH0367,XXXX-XXXX-XXXX-9561,Silver,Jamie Campbell,gbaker@hotmail.com,7544646734,India,USD,5567,0.85
CH0368,XXXX-XXXX-XXXX-2406,Silver,Amanda Cox,pamelacuevas@harris.net,765.632.9720x93166,India,USD,8599,0.38
CH0369,XXXX-XXXX-XXXX-3263,Silver,Mario Durham,benjaminwright@gmail.com,+1-175-327-4451x652,India,CAD,5551,0.16
CH0370,XXXX-XXXX-XXXX-2538,Gold,Joseph Schneider,richard59@goodman.net,+1-459-060-6002x74901,UK,GBP,1065,0.62
CH0371,XXXX-XXXX-XXXX-3973,Business,Amanda Vaughn,hernandezmichael@wallace.net,+1-882-970-8166,USA,EUR,6584,0.6
CH0372,XXXX-XXXX-XXXX-5079,Platinum,Charles Luna,washingtonchristie@davenport-anderson.com,954-212-1123x61401,Germany,INR,7689,0.24
CH0373,XXXX-XXXX-XXXX-7070,Business,Megan Morgan,tiffany17@hotmail.com,(027)525-1535,Australia,GBP,2993,0.16
CH0374,XXXX-XXXX-XXXX-7730,Gold,Wesley Morgan,yweber@gmail.com,+1-212-482-2037,Germany,INR,8756,0.62
CH0375,XXXX-XXXX-XXXX-3304,Business,Seth Norman,sweeneypeter@yahoo.com,+1-966-035-6086x9871,Canada,GBP,9162,0.76
CH0376,XXXX-XXXX-XXXX-4348,Business,Steven Burnett,aherring@jones.com,001-908-532-3785x661,UK,EUR,2165,0.26
CH0377,XXXX-XXXX-XXXX-1030,Gold,Sarah Rollins,imartin@lewis.com,777-163-8787,Canada,EUR,4612,0.11
CH0378,XXXX-XXXX-XXXX-7369,Silver,Brian Jones,rileyjason@hammond.org,7501937326,India,AUD,2041,0.09
CH0379,XXXX-XXXX-XXXX-2572,Gold,Connie Chung,isabellahiggins@reynolds.com,498.776.5553,UK,GBP,3584,0.34
CH0380,XXXX-XXXX-XXXX-6523,Platinum,Gregory Medina,john98@gmail.com,582-174-6547,USA,EUR,3847,0.16
CH0381,XXXX-XXXX-XXXX-1686,Platinum,Malik Jones,ashleyterry@bennett-alexander.com,+1-593-351-3651x1723,Germany,EUR,2554,0.81
CH0382,XXXX-XXXX-XXXX-3405,Silver,Joanne Davis,sanchezjames@yahoo.com,781.814.1784,UK,USD,7531,0.27
CH0383,XXXX-XXXX-XXXX-2796,Silver,Melanie Scott,robinmoreno@gmail.com,518.096.5356x5908,India,INR,4445,0.55
CH0384,XXXX-XXXX-XXXX-9606,Silver,Angela Nelson,cynthiasanders@flynn.com,(411)788-9520,Germany,CAD,5791,0.7
CH0385,XXXX-XXXX-XXXX-7500,Silver,Rachel Lowe,baileychristy@yahoo.com,(451)978-9654,Germany,CAD,7750,0.11
CH0386,XXXX-XXXX-XXXX-4413,Platinum,Jason Lopez,jennanguyen@vance.com,712.489.6459,USA,CAD,1755,0.85
CH0387,XXXX-XXXX-XXXX-5103,Business,Marie Gross,danielsmith@roberts-barton.org,703-537-2926,India,GBP,7667,0.03
CH0388,XXXX-XXXX-XXXX-4690,Silver,Kelsey Branch,pmcbride@taylor.com,517.309.1483x980,Germany,USD,1789,0.01
CH0389,XXXX-XXXX-XXXX-6810,Platinum,James Hernandez,greenvincent@hall.net,(812)008-6954,Germany,CAD,6972,0.18
CH0390,XXXX-XXXX-XXXX-3713,Platinum,Richard Bernard,jamespatrick@stewart.com,(354)934-6645x83013,Canada,CAD,5147,0.37
